,Substrate,Phosphosite,Control_mean,Inhibitor_mean,Fold_change,p_value,ctrlCV,treatCV,Kinase
14,AAK1,T389,322093074.0,267865907.9,0.8316413159999999,0.572706157,0.339346959,0.42326815,CDK1
36,ABCF1,S109,3729907419.0,5887468909.0,1.578449073,0.024748957999999998,0.184788832,0.17824354399999998,CK2A1
37,ABCF1,S140,5130510022.0,3859858570.0,0.752334281,0.171288445,0.209020827,0.239829152,CK2A1
44,ABI1,S183,6954254698.0,8002002919.0,1.150662906,0.274058118,0.13152202,0.149788789,ERK1
44,ABI1,S183,6954254698.0,8002002919.0,1.150662906,0.274058118,0.13152202,0.149788789,ERK2
48,ABI1,Y213,355331966.2,479462582.0,1.3493370359999999,0.121852949,0.043768934,0.246919103,Abl
73,ACACA,S80,936741598.8,1819075166.0,1.94191778,0.006909829,0.14097912599999998,0.195626364,AMPKA1
73,ACACA,S80,936741598.8,1819075166.0,1.94191778,0.006909829,0.14097912599999998,0.195626364,AMPKA2
176,ADD1,S12,31229837.54,55935494.6,1.791091437,0.446615314,1.0010821109999999,0.755224723,CDK1
182,ADD1,S726,13324889.63,19498566.69,1.46331919,0.641231231,0.726807135,1.001791105,PKCD
182,ADD1,S726,13324889.63,19498566.69,1.46331919,0.641231231,0.726807135,1.001791105,Chk1
182,ADD1,S726,13324889.63,19498566.69,1.46331919,0.641231231,0.726807135,1.001791105,PKACA
182,ADD1,S726,13324889.63,19498566.69,1.46331919,0.641231231,0.726807135,1.001791105,PKCA
182,ADD1,S726,13324889.63,19498566.69,1.46331919,0.641231231,0.726807135,1.001791105,PKCZ
187,ADD2,S613,1747978370.0,372130443.1,0.212891904,0.007356631999999999,0.312763017,0.6648229370000001,GSK3B
189,ADD2,S701,465519556.8,423408697.8,0.9095400859999999,0.928164002,1.435193784,0.9316719940000001,CDK5
192,ADD3,S693,4823209992.0,5171387159.0,1.072187852,0.487553175,0.073165094,0.142180579,Chk1
266,AGO2,S387,735149686.1,556473260.2,0.75695232,0.100504218,0.17269523899999997,0.173686788,MAPKAPK2
266,AGO2,S387,735149686.1,556473260.2,0.75695232,0.100504218,0.17269523899999997,0.173686788,Akt3
345,AJUBA,S119,1585271161.0,1362069207.0,0.859202665,0.22756821,0.062151522,0.198425076,CDK1
378,AKAP12,S627,140880335.0,718723481.6,5.101659374,0.127880783,0.651483598,0.778251555,PKACA
384,AKAP12,T767,779947179.4,879827732.1,1.128060663,0.218834451,0.122885004,0.09295303099999999,CDK1
387,AKAP13,S1565,606685568.8,586611196.6,0.9669114059999999,0.878155149,0.095551811,0.35710304600000004,PKACA
417,AKIRIN2,S18,190910754.7,318103221.5,1.666240449,0.02334466,0.32241891899999997,0.122823721,CDK2
418,AKIRIN2,S21,452856442.1,579193362.9,1.278977859,0.06320383,0.090703768,0.150137142,CDK2
424,AKT1,S129,3132602795.0,5156830082.0,1.646180643,0.179509108,0.31710038,0.403940652,CK2A1
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,TBK1
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,MAPKAPK2
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,ILK
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,DNAPK
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,PIKFYVE
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,PRKD1
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,IKKE
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,PDK1
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,LRRK2
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,mTOR
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,Mer
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,PKCA
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,PKCB
425,AKT1,S473,515837773.2,220406857.1,0.42727940600000003,0.222719143,0.602234633,0.9631482170000001,AXL
429,AKT1S1,S183,610596175.3,217610026.4,0.356389436,0.008360778000000001,0.284972249,0.131286239,mTOR
430,AKT1S1,S203,64575773.8,44179491.81,0.6841496309999999,0.603905966,0.9410969509999999,0.49227075299999995,PKM
485,AMOTL2,S759,335047962.0,409419723.7,1.221973479,0.33712792799999997,0.19516665100000002,0.255900383,mTOR
497,ANAPC1,S355,230892216.7,323112826.4,1.399409781,0.011623716000000001,0.133089159,0.100042133,CDK1
